kata,skor
pribadi,-0.034434149808107085
suka,0.566339710620823
performa,-0.03272669350255697
versi,-0.03272669350255697
asa,-0.7275813303680525
stabil,-0.3221162222598881
arti,-1.2384069541340432
jumpa,-0.7275813303680526
sistem,-1.6438720622422076
operasi,-0.7275813303680526
fitur,-0.03272669350255697
fiturfitur,-0.03272669350255697
sepenuh,-0.03272669350255697
butuh,-0.9507248816822622
enak,0.1478874069858475
pakai,-0.034434149808107085
versi,-0.03272669350255697
enggan,-0.03272669350255697
pindah,1.5750037626259932
lts,-0.03272669350255697
alih,-0.03272669350255697
versi,-0.03272669350255697
dukung,0.37103095830005717
juli,-0.03272669350255697
os,-0.03272669350255697
puas,-0.03443414980810731
kendala,-0.7275813303680526
arti,-1.2384069541340432
jumpa,-0.7275813303680526
software,-0.03272669350255697
butuh,-0.9507248816822622
diinstal,-0.03272669350255697
jalan,0.37103095830005717
lancar,2.3169411073553703
kendala,-0.7275813303680526
google,-0.7275813303680526
chrome,-0.03272669350255697
wps,-0.03272669350255697
office,-0.03272669350255697
wine,-0.03272669350255697
playonlinux,-0.03272669350255697
blender,-0.03272669350255697
audacity,-0.03272669350255697
inkscape,-0.03272669350255697
openshot,-0.03272669350255697
video,0.946395103203619
editor,-0.03272669350255697
software,-0.03272669350255697
ubuntu,-0.03272669350255697
jalan,0.37103095830005717
mulus,-0.03272669350255697
software,-0.03272669350255697
kendala,-0.7275813303680526
jalan,0.37103095830005717
ubuntu,-0.03272669350255697
lts,-0.03272669350255697
plank,-0.03272669350255697
plank,-0.03272669350255697
support,1.0641781388600025
wayland,-0.03272669350255697
jalan,0.37103095830005717
hasil,0.18870940150610255
diinstall,-0.03272669350255697
